capec1,capec122,ChildOf
capec122,capec1,ParentOf
capec10,capec100,ChildOf
capec100,capec10,ParentOf
capec100,capec123,ChildOf
capec123,capec100,ParentOf
capec101,capec253,ChildOf
capec253,capec101,ParentOf
capec102,capec593,ChildOf
capec593,capec102,ParentOf
capec103,capec173,ChildOf
capec173,capec103,ParentOf
capec104,capec233,ChildOf
capec233,capec104,ParentOf
capec105,capec220,ChildOf
capec220,capec105,ParentOf
capec107,capec593,ChildOf
capec593,capec107,ParentOf
capec107,capec63,CanFollow
capec63,capec107,CanPrecede
capec108,capec66,ChildOf
capec66,capec108,ParentOf
capec109,capec66,ChildOf
capec66,capec109,ParentOf
capec11,capec635,ChildOf
capec635,capec11,ParentOf
capec110,capec66,ChildOf
capec66,capec110,ParentOf
capec110,capec280,CanFollow
capec280,capec110,CanPrecede
capec111,capec212,ChildOf
capec212,capec111,ParentOf
capec12,capec21,PeerOf
capec21,capec12,PeerOf
capec12,capec216,ChildOf
capec216,capec12,ParentOf
capec120,capec267,ChildOf
capec267,capec120,ParentOf
capec121,capec113,ChildOf
capec113,capec121,ParentOf
capec126,capec153,ChildOf
capec153,capec126,ParentOf
capec127,capec54,ChildOf
capec54,capec127,ParentOf
capec128,capec153,ChildOf
capec153,capec128,ParentOf
capec13,capec77,ChildOf
capec77,capec13,ParentOf
capec13,capec14,CanPrecede
capec14,capec13,CanFollow
capec13,capec10,PeerOf
capec10,capec13,PeerOf
capec132,capec159,ChildOf
capec159,capec132,ParentOf
capec133,capec113,ChildOf
capec113,capec133,ParentOf
capec134,capec137,ChildOf
capec137,capec134,ParentOf
capec135,capec137,ChildOf
capec137,capec135,ParentOf
capec136,capec248,ChildOf
capec248,capec136,ParentOf
capec138,capec137,ChildOf
capec137,capec138,ParentOf
capec139,capec126,ChildOf
capec126,capec139,ParentOf
capec14,capec100,ChildOf
capec100,capec14,ParentOf
capec140,capec74,ChildOf
capec74,capec140,ParentOf
capec141,capec161,ChildOf
capec161,capec141,ParentOf
capec142,capec141,ChildOf
capec141,capec142,ParentOf
capec142,capec89,CanPrecede
capec89,capec142,CanFollow
capec143,capec150,ChildOf
capec150,capec143,ParentOf
capec144,capec150,ChildOf
capec150,capec144,ParentOf
capec145,capec148,ChildOf
capec148,capec145,ParentOf
capec146,capec271,ChildOf
capec271,capec146,ParentOf
capec147,capec528,ChildOf
capec528,capec147,ParentOf
capec149,capec169,ChildOf
capec169,capec149,ParentOf
capec15,capec137,ChildOf
capec137,capec15,ParentOf
capec150,capec116,ChildOf
capec116,capec150,ParentOf
capec155,capec150,ChildOf
capec150,capec155,ParentOf
capec155,capec149,CanFollow
capec149,capec155,CanPrecede
capec157,capec117,ChildOf
capec117,capec157,ParentOf
capec158,capec157,ChildOf
capec157,capec158,ParentOf
capec159,capec154,ChildOf
capec154,capec159,ParentOf
capec16,capec49,ChildOf
capec49,capec16,ParentOf
capec160,capec113,ChildOf
capec113,capec160,ParentOf
capec162,capec77,ChildOf
capec77,capec162,ParentOf
capec163,capec98,ChildOf
capec98,capec163,ParentOf
capec163,capec406,CanFollow
capec406,capec163,CanPrecede
capec163,capec407,CanFollow
capec407,capec163,CanPrecede
capec164,capec98,ChildOf
capec98,capec164,ParentOf
capec166,capec161,ChildOf
capec161,capec166,ParentOf
capec167,capec188,ChildOf
capec188,capec167,ParentOf
capec168,capec636,ChildOf
capec636,capec168,ParentOf
capec17,capec1,ChildOf
capec1,capec17,ParentOf
capec17,capec233,ChildOf
capec233,capec17,ParentOf
capec17,capec165,ChildOf
capec165,capec17,ParentOf
capec170,capec541,ChildOf
capec541,capec170,ParentOf
capec174,capec137,ChildOf
capec137,capec174,ParentOf
capec174,capec460,PeerOf
capec174,capec63,CanPrecede
capec63,capec174,CanFollow
capec177,capec17,ChildOf
capec17,capec177,ParentOf
capec178,capec182,ChildOf
capec182,capec178,ParentOf
capec179,capec554,ChildOf
capec554,capec179,ParentOf
capec18,capec591,ChildOf
capec591,capec18,ParentOf
capec18,capec592,ChildOf
capec592,capec18,ParentOf
capec18,capec588,ChildOf
capec588,capec18,ParentOf
capec180,capec122,ChildOf
capec122,capec180,ParentOf
capec181,capec103,ChildOf
capec103,capec181,ParentOf
capec182,capec137,ChildOf
capec137,capec182,ParentOf
capec182,capec248,PeerOf
capec183,capec248,ChildOf
capec248,capec183,ParentOf
capec185,capec184,ChildOf
capec184,capec185,ParentOf
capec186,capec184,ChildOf
capec184,capec186,ParentOf
capec187,capec186,ChildOf
capec186,capec187,ParentOf
capec189,capec188,ChildOf
capec188,capec189,ParentOf
capec19,capec242,ChildOf
capec242,capec19,ParentOf
capec190,capec167,ChildOf
capec167,capec190,ParentOf
capec191,capec167,ChildOf
